epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,21324.6,0.52178,0.63604,0.84207,0.94146,0.38778,0.5011,0.4275,0.62937,0.70494,0.83797,0.000267025,0.000267025,0.000267025
88,21694.6,0.5391,0.61257,0.84867,0.94713,0.37449,0.49704,0.42174,0.64337,0.70276,0.83973,0.000262863,0.000262863,0.000262863
89,22038.6,0.5382,0.62324,0.84393,0.94912,0.3763,0.48959,0.4231,0.60691,0.67579,0.83102,0.0002587,0.0002587,0.0002587
90,22310.3,0.52299,0.63878,0.8352,0.96468,0.33881,0.46006,0.395,0.63095,0.68537,0.83609,0.000254538,0.000254538,0.000254538
91,22662.4,0.53547,0.61737,0.84112,0.89679,0.26144,0.3922,0.32922,0.67263,0.68976,0.84166,0.000250375,0.000250375,0.000250375
92,22997.9,0.51948,0.6181,0.84353,0.95028,0.30194,0.43485,0.36201,0.70803,0.7189,0.8543,0.000246213,0.000246213,0.000246213
93,23347.2,0.5295,0.63559,0.84886,0.92911,0.38872,0.49931,0.42275,0.64559,0.74265,0.8419,0.00024205,0.00024205,0.00024205
94,23632.8,0.51766,0.61728,0.83678,0.94836,0.33847,0.45752,0.39758,0.61613,0.71093,0.83459,0.000237888,0.000237888,0.000237888
95,24043.9,0.50651,0.58248,0.83442,0.97591,0.18228,0.3587,0.31474,0.61155,0.69365,0.83239,0.000233725,0.000233725,0.000233725
96,24365.6,0.50638,0.57182,0.83934,0.93979,0.42853,0.54131,0.46513,0.63754,0.70494,0.83761,0.000229563,0.000229563,0.000229563
97,24688.6,0.53578,0.60531,0.83965,0.91132,0.34405,0.47347,0.40367,0.664,0.72498,0.84456,0.0002254,0.0002254,0.0002254
98,25073.8,0.51423,0.61016,0.83981,0.94612,0.34032,0.46673,0.39166,0.67395,0.71654,0.84577,0.000221238,0.000221238,0.000221238
99,25520.3,0.52534,0.60995,0.84373,0.90527,0.17066,0.32576,0.27914,0.67231,0.71017,0.8477,0.000217075,0.000217075,0.000217075
100,25752.5,0.50624,0.56611,0.84233,0.97017,0.60183,0.69044,0.58899,0.63651,0.70896,0.83686,0.000212912,0.000212912,0.000212912
101,26077.1,0.52548,0.58785,0.8396,0.95134,0.20092,0.37626,0.32748,0.63867,0.72014,0.83763,0.00020875,0.00020875,0.00020875
102,26708.6,0.52722,0.58506,0.83982,0.95666,0.35963,0.50104,0.42565,0.66376,0.69401,0.84148,0.000204588,0.000204588,0.000204588
103,27423.7,0.51423,0.57831,0.84201,0.96661,0.37881,0.51445,0.44153,0.63297,0.66179,0.83476,0.000200425,0.000200425,0.000200425
104,27782.3,0.50233,0.60266,0.83761,0.96533,0.37274,0.51151,0.43928,0.62551,0.6958,0.83611,0.000196263,0.000196263,0.000196263
105,28083.3,0.48801,0.55717,0.83706,0.96241,0.33772,0.48173,0.41805,0.61288,0.69072,0.8319,0.0001921,0.0001921,0.0001921
106,28819.5,0.49786,0.61668,0.83626,0.92468,0.29386,0.44584,0.3826,0.64899,0.67011,0.83857,0.000187938,0.000187938,0.000187938
107,29147.9,0.48996,0.57299,0.83848,0.95105,0.93267,0.97063,0.84049,0.59226,0.68119,0.82715,0.000183775,0.000183775,0.000183775
108,29529.9,0.4962,0.57394,0.83116,0.94782,0.9324,0.96556,0.83,0.62348,0.69778,0.8331,0.000179612,0.000179612,0.000179612
109,29779.2,0.50922,0.57032,0.83428,0.95715,0.40579,0.52883,0.44554,0.64964,0.72086,0.83997,0.00017545,0.00017545,0.00017545
110,30459.4,0.49399,0.55984,0.83419,0.96751,0.3599,0.50032,0.43591,0.61419,0.68039,0.83234,0.000171287,0.000171287,0.000171287
111,30774.6,0.50246,0.5616,0.84162,0.96043,0.37797,0.52072,0.45166,0.62586,0.67784,0.83514,0.000167125,0.000167125,0.000167125
112,31041.5,0.48964,0.57069,0.83415,0.95017,0.9154,0.96701,0.82367,0.64341,0.69782,0.83795,0.000162963,0.000162963,0.000162963
113,31408.6,0.48035,0.57056,0.83293,0.95059,0.5462,0.64318,0.55643,0.6172,0.68936,0.8336,0.0001588,0.0001588,0.0001588
114,31764.1,0.50109,0.55808,0.83324,0.96683,0.37728,0.51396,0.43811,0.65179,0.69343,0.84019,0.000154638,0.000154638,0.000154638
115,32189.6,0.48269,0.5561,0.83479,0.96304,0.37722,0.51162,0.44043,0.61014,0.6884,0.83107,0.000150475,0.000150475,0.000150475
116,33245.5,0.48688,0.56552,0.84115,0.9491,0.73804,0.80005,0.69059,0.6112,0.69205,0.83145,0.000146312,0.000146312,0.000146312
117,33565,0.48112,0.56068,0.83068,0.94999,0.38799,0.52228,0.45346,0.6037,0.70003,0.83105,0.00014215,0.00014215,0.00014215
118,35032.8,0.48938,0.56748,0.83395,0.96815,0.3584,0.50283,0.43131,0.64027,0.70977,0.83871,0.000137987,0.000137987,0.000137987
119,35556.8,0.49356,0.56209,0.83077,0.95394,0.3022,0.45534,0.40001,0.60064,0.66781,0.83007,0.000133825,0.000133825,0.000133825
120,36692.2,0.47087,0.53517,0.82596,0.93402,0.16982,0.34592,0.30645,0.60997,0.65893,0.83182,0.000129663,0.000129663,0.000129663
121,37660.7,0.47905,0.54049,0.83396,0.94844,0.41183,0.52813,0.46045,0.59589,0.65861,0.82824,0.0001255,0.0001255,0.0001255
122,39308.8,0.49868,0.57551,0.83722,0.95166,0.89523,0.95159,0.81317,0.64607,0.69009,0.83884,0.000121338,0.000121338,0.000121338
123,40838.4,0.49118,0.5389,0.83931,0.94913,0.88701,0.9491,0.82173,0.59943,0.68483,0.8293,0.000117175,0.000117175,0.000117175
124,41802,0.47999,0.52699,0.8245,0.95508,0.3882,0.5201,0.45009,0.61584,0.66879,0.83174,0.000113013,0.000113013,0.000113013
125,43220.1,0.4586,0.49724,0.82505,0.9448,0.3023,0.46167,0.40261,0.61667,0.65849,0.83272,0.00010885,0.00010885,0.00010885
126,44653.4,0.46739,0.52878,0.82691,0.95478,0.38046,0.52575,0.45449,0.62663,0.64792,0.83541,0.000104687,0.000104687,0.000104687
127,45501.8,0.4578,0.51577,0.82816,0.96996,0.37768,0.52723,0.45694,0.61748,0.64819,0.83366,0.000100525,0.000100525,0.000100525
128,46007.1,0.46125,0.51828,0.83086,0.96627,0.37546,0.53141,0.46329,0.61072,0.65273,0.83259,9.63625e-05,9.63625e-05,9.63625e-05
129,46601.7,0.46468,0.51611,0.82869,0.96395,0.37494,0.52838,0.45958,0.60153,0.66172,0.83015,9.22e-05,9.22e-05,9.22e-05
130,47928,0.47485,0.52505,0.8267,0.96705,0.33847,0.50496,0.44037,0.60914,0.65687,0.83206,8.80375e-05,8.80375e-05,8.80375e-05
131,48866.7,0.45103,0.50826,0.82499,0.9535,0.1684,0.38431,0.33785,0.6095,0.65218,0.83155,8.3875e-05,8.3875e-05,8.3875e-05
132,50745.3,0.46979,0.53536,0.83154,0.96985,0.28553,0.48758,0.42472,0.63457,0.66908,0.83581,7.97125e-05,7.97125e-05,7.97125e-05
133,51751.1,0.46374,0.51739,0.82772,0.95761,0.3769,0.52755,0.46145,0.60624,0.64923,0.83087,7.555e-05,7.555e-05,7.555e-05
134,53251.7,0.45455,0.51173,0.83017,0.96674,0.40467,0.54979,0.47965,0.60657,0.64063,0.83084,7.13875e-05,7.13875e-05,7.13875e-05
135,53872.4,0.46654,0.51562,0.83071,0.96141,0.26541,0.46989,0.41825,0.6006,0.62926,0.82948,6.7225e-05,6.7225e-05,6.7225e-05
136,54474.3,0.45852,0.48951,0.8148,0.95358,0.34218,0.50444,0.4398,0.6255,0.63921,0.83462,6.30625e-05,6.30625e-05,6.30625e-05
